_sa_instance_state,id,post_id,user_id,replay_num,user_url,user_nickname,stock_code,post_title,post_url,post_last_time,read_num
<sqlalchemy.orm.state.InstanceState object at 0x000001AEF0C66810>,1,1444154584,4857065353695242,6,https://i.eastmoney.com/4857065353695242,HWG66886688,600000,现在浦发银行看起好像涨了很多，其实净资产打四折甩卖。只是以前超跌，现在只是恢复性,"https://guba.eastmoney.com/news,600000,1444154584.html",2024-07-14 22:16:00,661
<sqlalchemy.orm.state.InstanceState object at 0x000001AEF067D890>,2,None,4075013726374404,8,https://i.eastmoney.com/4075013726374404,wygwddd,600000,江苏银行能超过浦发银行8.84元的股价吗？,https://caifuhao.eastmoney.com/news/20240714102536769210990?from=guba&name=5rWm5Y%2BR6ZO26KGM5ZCn&gubaurl=aHR0cHM6Ly9ndWJhLmVhc3Rtb25leS5jb20vbGlzdCw2MDAwMDBfMS5odG1s,2024-07-14 21:17:00,992
<sqlalchemy.orm.state.InstanceState object at 0x000001AEF0C66890>,3,1444577472,8784356125920944,7,https://i.eastmoney.com/8784356125920944,每天睡到大中午,600000,浦发今年从年初到如今一波涨，至年底前一波调整振荡后，股价应维持在十一元左右。明年,"https://guba.eastmoney.com/news,600000,1444577472.html",2024-07-14 20:23:00,779
<sqlalchemy.orm.state.InstanceState object at 0x000001AEF0C66950>,4,1444596054,2634125312925098,1,https://i.eastmoney.com/2634125312925098,胖猫周周见,600000,浦发银行本周沪股通持股市值增加2.07亿元，居银行板块第五,"https://guba.eastmoney.com/news,600000,1444596054.html",2024-07-14 16:41:00,142
<sqlalchemy.orm.state.InstanceState object at 0x000001AEF0C66A10>,5,1444601158,2374125312925068,0,https://i.eastmoney.com/2374125312925068,大眼看两融,600000,浦发银行本周融资净偿还2349.18万元，居银行板块第十三,"https://guba.eastmoney.com/news,600000,1444601158.html",2024-07-14 15:09:00,100
<sqlalchemy.orm.state.InstanceState object at 0x000001AEF0C66B10>,6,None,1980111396296318,0,https://i.eastmoney.com/1980111396296318,劫庄停板王,600000,浦发银行,https://caifuhao.eastmoney.com/news/20240714142239599059450?from=guba&name=5rWm5Y%2BR6ZO26KGM5ZCn&gubaurl=aHR0cHM6Ly9ndWJhLmVhc3Rtb25leS5jb20vbGlzdCw2MDAwMDBfMS5odG1s,2024-07-14 14:22:00,282
<sqlalchemy.orm.state.InstanceState object at 0x000001AEF0C66BD0>,7,1444563638,1069064873239278,2,https://i.eastmoney.com/1069064873239278,股友1411BTU,600000,06年25岁入股市现44岁A股指数还在原位置没赚钱！半个人生被坑惨了！,"https://guba.eastmoney.com/news,600000,1444563638.html",2024-07-14 07:13:00,172
<sqlalchemy.orm.state.InstanceState object at 0x000001AEF0C66D10>,8,1439256427,4644094358458900,69,https://i.eastmoney.com/4644094358458900,长江之子WH,600028,6000股中石化盈利720元,"https://guba.eastmoney.com/news,600028,1439256427.html",2024-07-14 23:22:00,1610
<sqlalchemy.orm.state.InstanceState object at 0x000001AEF0C66E50>,9,1422893614,3677066936190022,17,https://i.eastmoney.com/3677066936190022,韭菜根低位再增持,600028,[微笑]好消息五大行今年起每年也要分两次红了，估计今后加大分红的力度也是迟早的事,"https://guba.eastmoney.com/news,600028,1422893614.html",2024-07-14 22:07:00,1885
<sqlalchemy.orm.state.InstanceState object at 0x000001AEF0C66F50>,10,1444620205,1419014523691306,0,https://i.eastmoney.com/1419014523691306,老马向前,600028,明天股权登记日，收息了,"https://guba.eastmoney.com/news,600028,1444620205.html",2024-07-14 20:42:00,194
